1,Brielle,Denys,6389 Dieppe Ave,Ferndale,California,US,1961-12-31,America/Los_Angeles
2,Hanna,Collins,9732 The Green,Cabo San Lucas,Baja California Sur,MX,1956-08-22,America/Mazatlan
3,Olivia,Brar,1881 Maple Ave,Moss Beach,California,US,1984-02-03,America/Los_Angeles
4,Lillian,Fox,6585 North Road,Pepeekeo,Hawaii,US,1953-10-18,Pacific/Honolulu
5,Addison,Chan,282 Tecumseh Rd,Bonavista,Newfoundland and Labrador,CA,1955-02-26,America/St_Johns
6,William,Ginnish,4886 Peel St,Saint-Gabriel,Quebec,CA,1962-05-16,America/Toronto
7,Same,Ryan,2579 Queen Street,Alafaya,Florida,US,1991-03-18,America/New_York
8,Daniel,Jacobs,3129 Kingsway,Ferndale,California,US,1984-04-12,America/Los_Angeles
9,Marilou,Abraham,1095 Pine Rd,San Andrés Playa Encantada (El Podrido),Guerrero,MX,1947-03-05,America/Mexico_City
10,Lee,Hill,3684 Elgin St,Puerto Esperanza,Pinar del Río,CU,1954-04-18,America/Havana
11,Rene,Ford,2089 Hunters Creek Dr,Attleboro,Massachusetts,US,1951-11-12,America/New_York
12,Simon,Smith,6402 Vimy St,Moyock,North Carolina,US,1998-08-23,America/New_York
13,Owen,Kelley,2183 Springfield Road,Lander,Wyoming,US,1962-09-12,America/Denver
14,Tomothy,Lane,8035 Hunters Creek Dr,Saint-Pierre,Saint-Pierre,PM,1948-12-03,America/Miquelon
15,Maurice,Lowe,9975 Prospect Rd,Ureña,Táchira,VE,1966-03-09,America/Caracas
16,Alberto,Foster,5475 W Gray St,La Ronge,Saskatchewan,CA,1960-09-28,America/Regina
17,Lea,Liu,3557 36th Ave,Avalon,California,US,1973-10-21,America/Los_Angeles
18,Sarah,Wade,4056 Dane St,Hawley,Minnesota,US,1948-06-11,America/Chicago
19,Alexandra,Rodriguez,9906 St. John’S Road,Leilani Estates,Hawaii,US,1982-04-11,Pacific/Honolulu
20,Rafael,Reyes,2804 W Gray St,Princeton,British Columbia,CA,1953-03-10,America/Vancouver
21,Danielle,Kuhn,4112 Queensway,Kindersley,Saskatchewan,CA,1988-03-04,America/Regina
